number,country,description,points,price,province
83270,Australia,"Full bodied, supple and warm, this is a ripe Shiraz loaded with dark plum, cola and earth flavors. The finish turns spicy, with a slightly grainy tannin structure.",88,20,South Australia
83280,US,"Deeply pink with orange tones, this summer wine from Delfina's Vineyard shows a tangy sour-cherry nose with a touch of tarry complexity. It's yeasty on the sour-leaning palate, with orange bitters, plum and lemon-peel flavors.",86,22,California
83290,Italy,"Aromas of toasted oak, candied citrus, pressed white flower and vanilla lead the nose and follow through to the palate, along with nectarine zest and baked apricot. Enjoy soon to capture the remaining freshness and fruit.",86,19,Veneto
83300,Chile,"Rosy in color, with gritty, earthy aromas of dried red fruits and horse, this coastal Pinot is lean, tangy and citric in the mouth. Pie cherry, tomato and oregano flavors finish zippy, short and with a tomato sauce aftertaste.",86,19,Leyda Valley
83310,Italy,"Aromas of wild berry, graphite, dark cooking spice and grilled herb lead the nose. The concentrated palate shows dense black cherry marinated in spirits, licorice, clove, toast and a hint of espresso accompanied by firm, fine-grained tannins. Drink 2018??028.",92,65,Piedmont
83320,US,"From the Oak Knoll District and estate-grown fruit, this 100% varietal wine has a substantial amount of vanilla and cherry at its heart. Medium bodied, structured and soft, it retains fine-grained tannins that should mellow in the cellar, through 2022.",92,58,California
83330,Portugal,"Almost black in color, this powerful wine from vines in the Douro Superior region is impressively ripe and concentrated. Dark tannins, brooding black plum flavors and a solid age worthy structure will allow this wine to age. Drink from 2018.",92,20,Douro
83340,Italy,"Cantina del Nebbiolo is a cooperative winery with 175 members. This gorgeous base Barbaresco has been shaped by light wood influences that are integrated so well, they appear only as aromatic highlights over the wine's rich fruit component. There's spice, cinnamon and clove and the wine's mouthfeel is rich and continuous.",91,,Piedmont
83350,France,"Smooth, nutty character, with fine maturity along with grapefruit acidity. The Champagne is beautifully elegant, with hints of orange zest, finishing with a balanced toastiness.",91,69,Champagne
83360,US,"A stunningly beautiful Cabernet, made from the estate vineyard of all five classic Bordeaux varieties. Softly tannic and dry, it shows lush flavors of green olives, black cherries, anise and smoky oak that swirl into a long, impressive finish. Drinkable now for sheer beauty, it will develop over the next decade.",96,65,California
83370,US,"A rare Cabernet Franc from Merry-vale, and a spectacular one. They've handled this finicky variety just right, although surely the addition of some Cabernet Sauvignon and Malbec adds weight and tone. The wine is dry, richly tannic and enormously flavorful, offering waves of cherries, red currants, red licorice, cola, sweet cedar wood and even savory hints of bacon. A tremendous Cabernet Franc that will stand as a definitive version in California.",95,90,California
83380,US,"Pretty orange blossom and yellow peach aromas against a backdrop of petrol make this “gently dry,??light-bodied Riesling a classic expression of the grape. Lots of ripe stonefruit and florals shower the palate, leading to a persistent finish marked with vibrant acidity and a bright lime skin finish.",87,15,New York
83390,Italy,"Compared to the 2003 vintage, the fruit is slightly more vibrant and polished here. There's also a slightly green note of herb or dill that we didn't notice in the past. The mouthfeel is, however, bright, crisp and refreshingly informal.",87,27,Veneto
83400,Italy,"Roberto Mazzi's family has produced a spicy and thick vineyard-designate Valpolicella with lush tones of mature fruit followed by toasted nut and old leather. Crisp berry tones, a thin mouthfeel and fresh acidity are framed against a background of ripe berry fruit.",87,,Veneto
83410,US,"Very fresh and ripe Bing cherries, black plums and roasted figs are balanced on the nose of this wine by chopped mint. It's elegantly complex on the palate, rising in flavor through the sip, with red cherries, purple flowers, smoked meats and a dried garlic-meets-shiitake sense of umami. Firm tannins suggest moderate ageability.",91,57,California
83420,Spain,"A mix of floral and schisty cherry, raspberry and strawberry aromas are subtle, elegant and reserved. This blend of Garnacha and Syrah is fresh, but with a touch of jammy weight. Flavors of minerally plum and red currant are supported by oak and vanilla notes, while the finish is tight, racy and peppery in flavor. Drink through 2018.",90,31,Catalonia
83430,Portugal,"Produced from old bush vines, this is densely rich wine, with great structure and layers of full-bodied black fruit tones. It has a fruit and acid balance supported by concentrated tannins. It does need to age, so drink from 2017.",90,16,Tejo
83440,US,"This late release is dry verging on astringent, with a tight shell of herb and stem. Inside a good core of tart fruit—cranberry and raspberry—still seems young and suggests that decanting and/or further bottle age will see this wine continue to improve.",88,21,Oregon
83450,France,"Crisp and very clean, it holds flavors of red berries. It hints at a tannic structure that gives weight to the intense acidity of the young fruit. It should be given a few months more in bottle, so drink from late 2014.",88,26,Loire Valley
83460,US,"Long hangtime fruit is the star of this Pinot, which is pretty much as good as the winery's more expensive bottlings, making it a comparative value. The raspberry, cherry, tea, cola and Indian spice flavors developed perfectly in this perfect vintage, giving the wine an elaborate richness, while crisp coastal acidity provides balancing tartness. It wants some time in the cellar. Give it until 2012 to begin to develop bottle complexity.",91,55,California
83470,US,"The winery held back this brut-style wine for eleven years. Even at this great age, the wine tastes young and vibrant in acidity, with rich strawberry, orange, lime and yeast flavors, finished with sweet vanilla. Tastes beautiful now, but extraordinary as it is, it should gain traction over the next ten years.",95,50,California
83480,Portugal,"From 1800-foot vineyards, this is a crisp, cool, simply fruity wine that has great citrus and lemon character. Very aromatic, with green herb and fresh grapefruit zest over apple juice.",88,33,Douro
83490,US,"A lovely Cabernet. Shows the softness and herbaceousness that mark Alexander Valley Cabs, but in a good way, with a streak of red cherries, tobacco and sandalwood. Fine now with a good steak.",88,25,California
83500,Italy,"This is a creamy and layered wine (made with the Grecanico variety) that offers pretty aromas of banana nut, exotic fruit, chestnut honey and mature notes of melon and stone fruit. The wine is naturally rich with generous flavors and good length.",86,11,Sicily & Sardinia
83510,Australia,White pepper and dill scents make up a promising beginning and lead to a velvety palate with plenty of roasted meat and black cherry fruit. A fine choice with barbecue. Drink now to 2010.,86,13,South Australia
83520,Chile,"Slightly oxidized on the nose, this is low on fruit aromas but not unappealing. A plump palate offers flavors of corn, banana and melon. Firm acidity keeps this pumping on the finish.",86,15,Casablanca Valley
83530,Portugal,"Soft, ripe and fruity, this is an immediately attractive wine. Melon, pear and apricots come together in a fruit cocktail of a lively, crisp texture. Drink now.",85,12,Alentejano
83540,Portugal,"This is a soft, ripe and fruity wine. Smooth and lightly textured, its unusual blend of Pinot Noir, Shiraz and Castel?o is generous and spicy with good final acidity. Drink now.",85,9,Lisboa
83550,Italy,"Aromas of toasted oak, mocha and a whiff of coconut oak lead the nose while the firm palate offers dark cherry, espresso, dried sage and a hint of anise. The tightly wound tannins still pack youthful sharpness and need a few more years to soften up. Drink after 2021.",90,90,Piedmont
83560,Italy,"Rose, red berry, mint and anise aromas unfold in the glass. The firm palate offers wild cherry, crushed raspberry, clove, anisette and a mocha note framed in bracing tannins and fresh acidity. Drink 2020??031.",90,29,Piedmont
83570,US,"Toast, iodine, steel and kumquat-skin aromas show on this bottling from one of the region's older properties. The palate offers stone fruit ripeness but is driven by a sharp, citrusy acidity of Meyer lemon and Mexican lime.",90,48,California
